Слово, Частота, Частота(в %)
i, 15, "5,085%"
the, 14, "4,746%"
everybody, 14, "4,746%"
to, 13, "4,407%"
wants, 13, "4,407%"
be, 11, "3,729%"
a, 8, "2,712%"
la, 8, "2,712%"
m, 7, "2,373%"
astronaut, 6, "2,034%"
you, 6, "2,034%"
an, 6, "2,034%"
and, 6, "2,034%"
they, 5, "1,695%"
what, 5, "1,695%"
into, 4, "1,356%"
got, 4, "1,356%"
my, 4, "1,356%"
never, 4, "1,356%"
show, 4, "1,356%"
happy, 3, "1,017%"
when, 3, "1,017%"
at, 3, "1,017%"
re, 3, "1,017%"
brother, 3, "1,017%"
long, 3, "1,017%"
t, 3, "1,017%"
tell, 3, "1,017%"
trail, 3, "1,017%"
me, 3, "1,017%"
tall, 3, "1,017%"
ve, 3, "1,017%"
take, 3, "1,017%"
of, 3, "1,017%"
stars, 3, "1,017%"
is, 2, "0,678%"
it, 2, "0,678%"
don, 2, "0,678%"
world, 2, "0,678%"
man, 2, "0,678%"
so, 2, "0,678%"
s, 2, "0,678%"
but, 2, "0,678%"
ll, 2, "0,678%"
all, 2, "0,678%"
why, 2, "0,678%"
cause, 2, "0,678%"
we, 2, "0,678%"
atmosphere, 1, "0,339%"
play, 1, "0,339%"
cover, 1, "0,339%"
let, 1, "0,339%"
going, 1, "0,339%"
in, 1, "0,339%"
old, 1, "0,339%"
made, 1, "0,339%"
come, 1, "0,339%"
morning, 1, "0,339%"
looking, 1, "0,339%"
shiver, 1, "0,339%"
out, 1, "0,339%"
sleep, 1, "0,339%"
rock, 1, "0,339%"
are, 1, "0,339%"
get, 1, "0,339%"
lights, 1, "0,339%"
d, 1, "0,339%"
e, 1, "0,339%"
could, 1, "0,339%"
knew, 1, "0,339%"
call, 1, "0,339%"
v, 1, "0,339%"
superstar, 1, "0,339%"
misunderstood, 1, "0,339%"
chorus, 1, "0,339%"
travelin, 1, "0,339%"
bed, 1, "0,339%"
feel, 1, "0,339%"
body, 1, "0,339%"
inside, 1, "0,339%"
down, 1, "0,339%"
space, 1, "0,339%"
that, 1, "0,339%"
up, 1, "0,339%"
making, 1, "0,339%"
pre, 1, "0,339%"
town, 1, "0,339%"
like, 1, "0,339%"
might, 1, "0,339%"
this, 1, "0,339%"
history, 1, "0,339%"
picking, 1, "0,339%"
everywhere, 1, "0,339%"
outside, 1, "0,339%"
know, 1, "0,339%"
playing, 1, "0,339%"
send, 1, "0,339%"
heartbeats, 1, "0,339%"
for, 1, "0,339%"
can, 1, "0,339%"
ready, 1, "0,339%"
today, 1, "0,339%"
make, 1, "0,339%"
on, 1, "0,339%"
didn, 1, "0,339%"
will, 1, "0,339%"
also, 1, "0,339%"
say, 1, "0,339%"
message, 1, "0,339%"
way, 1, "0,339%"
guitar, 1, "0,339%"
marvel, 1, "0,339%"
passing, 1, "0,339%"
time, 1, "0,339%"
coming, 1, "0,339%"
