Слово, Частота, Частота(в %)
дымок, 20, "12,422%"
по, 10, "6,211%"
комнате, 6, "3,727%"
а, 6, "3,727%"
пошёл, 6, "3,727%"
ну, 5, "3,106%"
в, 4, "2,484%"
потолок, 4, "2,484%"
что, 4, "2,484%"
окутал, 4, "2,484%"
так, 4, "2,484%"
веселей, 3, "1,863%"
могу, 3, "1,863%"
сказать, 3, "1,863%"
окно, 3, "1,863%"
сидим, 3, "1,863%"
ой, 3, "1,863%"
вей, 3, "1,863%"
прибило, 3, "1,863%"
анка, 3, "1,863%"
да, 3, "1,863%"
глядим, 3, "1,863%"
кентишка, 2, "1,242%"
паровоз, 2, "1,242%"
с, 2, "1,242%"
ручничок, 2, "1,242%"
зашёл, 1, "0,621%"
аж, 1, "0,621%"
до, 1, "0,621%"
восемь, 1, "0,621%"
мы, 1, "0,621%"
снова, 1, "0,621%"
дозе, 1, "0,621%"
на, 1, "0,621%"
вдруг, 1, "0,621%"
налива, 1, "0,621%"
не, 1, "0,621%"
нам, 1, "0,621%"
закинул, 1, "0,621%"
сука, 1, "0,621%"
пива, 1, "0,621%"
вроде, 1, "0,621%"
вообще, 1, "0,621%"
сзади, 1, "0,621%"
курнули, 1, "0,621%"
курнул, 1, "0,621%"
равно, 1, "0,621%"
то, 1, "0,621%"
дождь, 1, "0,621%"
опять, 1, "0,621%"
навоз, 1, "0,621%"
поймали, 1, "0,621%"
литров, 1, "0,621%"
табачок, 1, "0,621%"
пополам, 1, "0,621%"
уже, 1, "0,621%"
дунул, 1, "0,621%"
там, 1, "0,621%"
слёз, 1, "0,621%"
шугничок, 1, "0,621%"
давно, 1, "0,621%"
кто, 1, "0,621%"
смешал, 1, "0,621%"
ладошек, 1, "0,621%"
ответку, 1, "0,621%"
натёр, 1, "0,621%"
салам, 1, "0,621%"
всё, 1, "0,621%"
гавно, 1, "0,621%"
прогнали, 1, "0,621%"
идёт, 1, "0,621%"
него, 1, "0,621%"
из, 1, "0,621%"
