Слово, Частота, Частота(в %)
я, 22, "8,271%"
в, 19, "7,143%"
и, 16, "6,015%"
жить, 15, "5,639%"
кайф, 12, "4,511%"
выбираю, 12, "4,511%"
не, 8, "3,008%"
как, 8, "3,008%"
посчитал, 3, "1,128%"
хотел, 3, "1,128%"
мечтал, 3, "1,128%"
меня, 3, "1,128%"
вдруг, 3, "1,128%"
бы, 3, "1,128%"
сказал, 3, "1,128%"
во, 3, "1,128%"
вот, 3, "1,128%"
обычно, 3, "1,128%"
нужным, 3, "1,128%"
свет, 3, "1,128%"
сне, 3, "1,128%"
однажды, 3, "1,128%"
летал, 3, "1,128%"
себе, 3, "1,128%"
мама, 2, "0,752%"
котором, 2, "0,752%"
солнце, 2, "0,752%"
у, 2, "0,752%"
был, 2, "0,752%"
боже, 2, "0,752%"
это, 2, "0,752%"
на, 2, "0,752%"
увидеть, 2, "0,752%"
увидел, 2, "0,752%"
тогда, 2, "0,752%"
все, 2, "0,752%"
смей, 1, "0,376%"
есть, 1, "0,376%"
давним, 1, "0,376%"
поджидает, 1, "0,376%"
нуждался, 1, "0,376%"
воцарился, 1, "0,376%"
успех, 1, "0,376%"
сам, 1, "0,376%"
спорю, 1, "0,376%"
оставляет, 1, "0,376%"
услышав, 1, "0,376%"
стало, 1, "0,376%"
пришлось, 1, "0,376%"
огорчал, 1, "0,376%"
таким, 1, "0,376%"
остался, 1, "0,376%"
а, 1, "0,376%"
замер, 1, "0,376%"
пускай, 1, "0,376%"
метра, 1, "0,376%"
то, 1, "0,376%"
чем, 1, "0,376%"
жесточайший, 1, "0,376%"
жизни, 1, "0,376%"
рюкзаке, 1, "0,376%"
сын, 1, "0,376%"
носки, 1, "0,376%"
знакомым, 1, "0,376%"
толя, 1, "0,376%"
прогорал, 1, "0,376%"
желать, 1, "0,376%"
моем, 1, "0,376%"
своей, 1, "0,376%"
волне, 1, "0,376%"
моей, 1, "0,376%"
знают, 1, "0,376%"
своя, 1, "0,376%"
радиусе, 1, "0,376%"
волна, 1, "0,376%"
послушай, 1, "0,376%"
хорошо, 1, "0,376%"
пару, 1, "0,376%"
заднем, 1, "0,376%"
плакать, 1, "0,376%"
понятно, 1, "0,376%"
начало, 1, "0,376%"
без, 1, "0,376%"
глаза, 1, "0,376%"
музыку, 1, "0,376%"
отец, 1, "0,376%"
лучшего, 1, "0,376%"
кричи, 1, "0,376%"
истерике, 1, "0,376%"
хаос, 1, "0,376%"
фоне, 1, "0,376%"
ни, 1, "0,376%"
папа, 1, "0,376%"
кружилась, 1, "0,376%"
получится, 1, "0,376%"
хватит, 1, "0,376%"
надо, 1, "0,376%"
но, 1, "0,376%"
когда, 1, "0,376%"
диплома, 1, "0,376%"
значит, 1, "0,376%"
лгать, 1, "0,376%"
мне, 1, "0,376%"
валя, 1, "0,376%"
всем, 1, "0,376%"
сон, 1, "0,376%"
вас, 1, "0,376%"
что, 1, "0,376%"
помнят, 1, "0,376%"
ведь, 1, "0,376%"
где, 1, "0,376%"
маек, 1, "0,376%"
кто, 1, "0,376%"
мол, 1, "0,376%"
скрывать, 1, "0,376%"
видеть, 1, "0,376%"
всё, 1, "0,376%"
родных, 1, "0,376%"
